sentiment,id,subject
neutral,571034209822904321,police
neutral,571034209822904321,police
neutral,571034209822904321,police
negative,573021898965196800,rajoy
negative,573021898965196800,rajoy
negative,573021898965196800,rajoy
neutral,573074498078961664,spanish-government
neutral,573074498078961664,spanish-government
neutral,573074498078961664,spanish-government
negative,572159894159273984,aragonese-government
neutral,572159894159273984,aragonese-government
neutral,572159894159273984,aragonese-government
positive,572126874895327233,ume
negative,572126874895327233,ume
positive,572126874895327233,ume
negative,573182836653613056,rajoy
negative,573182836653613056,rajoy
negative,573182836653613056,rajoy
neutral,572503806531006464,civil-guard
neutral,572503806531006464,civil-guard
neutral,572503806531006464,civil-guard
neutral,572875919553007617,rajoy
negative,572875919553007617,rajoy
negative,572875919553007617,rajoy
neutral,571129404698574850,spanish-government
negative,571129404698574850,spanish-government
negative,571129404698574850,spanish-government
neutral,573215208027623424,ume
positive,573215208027623424,ume
positive,573215208027623424,ume
neutral,573835432900870144,rajoy
negative,573835432900870144,rajoy
neutral,573835432900870144,rajoy
neutral,573224070575095808,rajoy
neutral,573224070575095808,rajoy
neutral,573224070575095808,rajoy
positive,572733740973215745,ume
neutral,572733740973215745,ume
neutral,572733740973215745,ume
neutral,573159354540679168,che
neutral,573159354540679168,che
neutral,573159354540679168,che
negative,571774011899842560,che
neutral,571774011899842560,che
negative,571774011899842560,che
positive,572781051505995776,rajoy
neutral,572781051505995776,rajoy
positive,572781051505995776,rajoy
negative,572821808837234688,rajoy
negative,572821808837234688,rajoy
negative,572821808837234688,rajoy
neutral,572660223044931586,che
neutral,572660223044931586,che
neutral,572660223044931586,che
neutral,573754527008092160,rajoy
neutral,573754527008092160,rajoy
neutral,573754527008092160,rajoy
neutral,572872497298726912,spanish-government
neutral,572872497298726912,spanish-government
neutral,572872497298726912,spanish-government
neutral,572322870464004096,ume
neutral,572322870464004096,ume
neutral,572322870464004096,ume
negative,572751823792181248,che
neutral,572751823792181248,che
negative,572751823792181248,che
neutral,571306392340045824,police
neutral,571306392340045824,police
neutral,571306392340045824,police
neutral,573699002970992640,spanish-government
neutral,573699002970992640,spanish-government
neutral,573699002970992640,spanish-government
neutral,573019559122341889,tejerina
